Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:32:30
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:32:39
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:32:39
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:32:39
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:32:39
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:33:14
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:33:35
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:33:35
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:33:36
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:33:36
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:33:44
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:33:44
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:33:45
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:33:45
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:33:54
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:33:54
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:33:54
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:33:55
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:33:56
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:34:04
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:34:04
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:34:04
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:34:04
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:34:05
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:34:05
